name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
de Havilland DH.110 Sea Vixen,NA,NA,NA,12680,NA,NA,3.28,16.94,18860,21205,NA,NA,NA,NA,NA,NA,46,14600,NA,NA,60.2,NA,NA,15.54,United Kingdom,1951,145,Retired
de Havilland DH.77,NA,NA,NA,752,NA,NA,2.44,7.44,1036,NA,NA,NA,224,NA,NA,NA,9.6,7900,NA,NA,15.1,NA,NA,9.81,United Kingdom,1929,1,Abandoned
de Havilland Dormouse,NA,NA,NA,1140,1768,NA,NA,8.61,NA,NA,206,NA,313,NA,NA,NA,NA,4785,NA,NA,36.14,NA,NA,12.5,United Kingdom,1924,1,Abandoned
de Havilland Hornet/Sea Hornet,NA,435,NA,5122,NA,NA,4.32,10.82,7176,NA,764,NA,NA,NA,NA,NA,25.4,12650,NA,NA,33.54,NA,NA,13.72,United Kingdom,1944,383,Retired
de Havilland Mosquito,NA,NA,NA,6058,NA,20.066,5.3,12.55,8028,8549,NA,NA,NA,NA,NA,NA,8.8,8839,NA,NA,42.18,NA,NA,16.52,United Kingdom,1941,7781,Retired
de Havilland Sea Venom,450,NA,NA,NA,NA,20.066,2.6,11.15,NA,7167,NA,NA,NA,NA,NA,NA,29.2,12040,NA,NA,25.9,NA,NA,13.06,United Kingdom,1951,349,Retired
de Havilland Vampire/Sea Vampire,225,NA,NA,3304,NA,20.066,2.69,9.37,NA,5620,882,NA,NA,NA,NA,NA,24.4,13045,NA,NA,24.34,NA,NA,11.58,United Kingdom,1943,3268,Retired
de Havilland Venom,NA,NA,NA,4173,NA,20.066,1.88,9.7,7e3,NA,1029.712,NA,NA,NA,NA,NA,45.7,12e3,NA,NA,25.9,NA,NA,12.7,United Kingdom,1949,1431,Retired
Dewoitine D.1,NA,NA,NA,820.094336,1240.120528,NA,2.7432000000000003,7.315200000000001,NA,NA,254.27572,NA,223.71,NA,NA,NA,7.498080000000001,7999.476000000001,NA,NA,20.001086869999998,NA,NA,11.277600000000001,France,1922,225,Retired
Dewoitine D.12,NA,NA,NA,820.094336,1240.120528,NA,2.7432000000000003,7.315200000000001,NA,NA,254.27572,NA,223.71,NA,NA,NA,7.498080000000001,7999.476000000001,NA,NA,20.001086869999998,NA,NA,11.277600000000001,France,1925,2,Abandoned
Dewoitine D.27,NA,NA,NA,NA,NA,7.492999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,1928,93,Retired
Dewoitine D.500 & D.501,NA,NA,NA,1495.946416,NA,NA,2.1336,7.9248,1929.126776,NA,401.884,NA,641.302,NA,NA,NA,14.848840000000001,11000.232,NA,NA,16.50050183,NA,NA,11.8872,France,1932,259,Retired
Dewoitine D.503/D.511,NA,NA,NA,1495.946416,NA,NA,2.1336,7.9248,1929.126776,NA,401.884,NA,641.302,NA,NA,NA,14.848840000000001,11000.232,NA,NA,16.50050183,NA,NA,11.8872,France,1935,1,Abandoned
Dewoitine D.510,NA,NA,NA,1495.946416,NA,NA,2.1336,7.9248,1929.126776,NA,401.884,NA,641.302,NA,NA,NA,14.848840000000001,11000.232,NA,NA,16.50050183,NA,NA,11.8872,France,1934,120,Retired
Dewoitine D.520,NA,NA,NA,2122.81056,NA,NA,2.4384,8.5344,2677.099984,2785.05488,559.304,NA,693.501,NA,NA,NA,14.325600000000001,10058.4,NA,NA,15.886413,NA,NA,10.0584,France,1938,900,Retired
Dewoitine D.521,NA,NA,NA,2122.81056,NA,NA,2.4384,8.5344,2677.099984,2785.05488,559.304,NA,693.501,NA,NA,NA,14.325600000000001,10058.4,NA,NA,15.886413,NA,NA,10.0584,France,1940,1,Abandoned
Dewoitine D.535,NA,NA,NA,NA,NA,7.492999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,1932,1,Abandoned
Dewoitine D.560 & D.570,NA,NA,NA,1270.0576,1697.794856,NA,3.3528000000000002,8.2296,NA,NA,344.39876,NA,514.533,NA,NA,NA,NA,10299.192000000001,NA,NA,17.30039666,NA,NA,12.192,France,1932,1,Abandoned
Dewoitine D.8,NA,NA,NA,820.094336,1240.120528,NA,2.7432000000000003,7.315200000000001,NA,NA,254.27572,NA,223.71,NA,NA,NA,7.498080000000001,7999.476000000001,NA,NA,20.001086869999998,NA,NA,11.277600000000001,France,1923,1,Abandoned
Doflug D-3802,NA,NA,NA,1892.839416,NA,NA,2.4384,7.9248,2425.810016,NA,487.63002,NA,641.302,NA,NA,NA,13.004800000000001,NA,NA,NA,17.09972618,NA,NA,10.3632,Switzerland,1944,12,Retired
Doflug D-3803,NA,NA,NA,1892.839416,NA,NA,2.4384,7.9248,2425.810016,NA,487.63002,NA,641.302,NA,NA,NA,13.004800000000001,NA,NA,NA,17.09972618,NA,NA,10.3632,Switzerland,1947,1,Abandoned
Dornier Do 335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764.4365,NA,1287,NA,NA,NA,NA,NA,NA,NA,38.461842,NA,NA,NA,Germany - 3rd Reich,1943,37,Retired
Dornier Do H,NA,NA,NA,825.083848,1212.905008,NA,2.4384,7.315200000000001,NA,NA,260.71308,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.001086869999998,NA,NA,9.7536,Germany - Weimar Republic,1922,4,Abandoned
Douglas F3D Skyknight,900,729.688,NA,8237,NA,NA,4.9,13.84,9694,12178,909.2771,1633,NA,NA,NA,NA,15.1,11643,NA,NA,37.16,NA,NA,15.24,United States,1948,265,Retired
Douglas F4D Skyray,907,NA,NA,7268,NA,NA,3.96,13.8,10273,12300,1161.204,NA,NA,NA,NA,NA,93.3,17e3,NA,NA,52,NA,NA,10.21,United States,1951,422,Retired
Douglas F5D Skylancer,NA,NA,NA,7912,NA,20.066,4.52,16.4,11088,12733,1592.72,NA,NA,NA,NA,NA,105.3,17500,NA,NA,51.7,NA,NA,10.21,United States,1956,4,Retired
Eberhart XFG & XF2G,NA,NA,NA,973,1333,NA,3,8.3,NA,NA,249,NA,317,NA,NA,NA,NA,NA,NA,NA,22.38,NA,NA,9.75,United States,1927,1,Abandoned
ENAER Pantera,3991.6096,NA,NA,7149.970696,NA,29.971999999999998,4.2672,15.5448,NA,13699.839176,NA,NA,NA,NA,NA,NA,185.92800000000003,17999.964,NA,NA,35.0058504,NA,NA,7.9248,Chile,1988,15,Operational
Engels MI,NA,NA,NA,385.099608,NA,NA,NA,7.315200000000001,555.196608,NA,NA,NA,74.57000000000001,NA,NA,NA,NA,NA,NA,NA,14.200223549999999,NA,NA,8.8392,Russian Empire,1916,4,Retired
English Electric Lightning,NA,NA,NA,14092,NA,29.971999999999998,5.97,16.8,NA,20752,NA,NA,NA,NA,NA,NA,100,16e3,NA,NA,44.08,NA,NA,10.6,United Kingdom,1954,337,Retired
Euler D.I,NA,NA,NA,380.110096,NA,NA,2.4384,5.7912,600.102216,NA,140.01257999999999,NA,59.656000000000006,NA,NA,NA,NA,NA,NA,NA,12.99991679,NA,NA,7.9248,German Empire,1916,75,Retired
Euler D.II,NA,NA,NA,380.110096,NA,NA,2.7432000000000003,5.7912,615.070752,NA,144.8406,NA,74.57000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.315200000000001,German Empire,1917,30,Retired
Fairey Fantôme,NA,NA,NA,1133.98,1868.7990399999999,NA,3.3528000000000002,8.2296,NA,NA,434.5218,NA,689.7725,NA,NA,NA,NA,NA,NA,NA,25.362519,NA,NA,10.3632,United Kingdom,1935,4,Abandoned
Fairey Flycatcher,NA,NA,NA,926,NA,NA,3.66,7.01,1377,NA,214.83200000000002,NA,298,NA,NA,NA,5.53,5790,NA,NA,26.8,NA,NA,8.84,United Kingdom,1922,196,Retired
FFA P-16,NA,NA,NA,7030.6759999999995,NA,NA,4.2672,14.325600000000001,NA,11702.6736,NA,NA,NA,NA,NA,NA,64.99860000000001,14020.800000000001,NA,NA,30.007669,NA,NA,10.972800000000001,Switzerland,1955,5,Abandoned
FFVS 22,NA,498.8954,NA,2016.21644,NA,NA,3.3528000000000002,7.62,2830.41408,NA,590.62778,NA,794.1705000000001,NA,NA,NA,14.020800000000001,9296.4,NA,NA,15.994180479999999,NA,NA,9.7536,Sweden,1942,198,Retired
Fiat CR.20,NA,NA,NA,979.75872,NA,7.696199999999999,2.7432000000000003,6.4008,1391.620256,NA,NA,NA,313.194,NA,460,NA,NA,7498.08,NA,NA,25.6505183,NA,NA,9.7536,Italy,1926,735,Retired
Fiat CR.32/CR.33/CR.40/CR.41,NA,NA,NA,1456.03032,NA,7.696199999999999,2.1336,7.315200000000001,1973.1252,NA,360.49216,NA,447.42,NA,NA,NA,9.25576,8799.576000000001,NA,NA,22.09976564,NA,NA,9.4488,Italy,1933,1306,Retired
Fiat CR.42,199.58048,398.18,NA,1782.162968,NA,NA,3.048,8.2296,2295.17552,NA,440.776,NA,NA,NA,NA,NA,11.8872,10210.800000000001,NA,NA,22.389623,NA,NA,NA,Italy,1938,1817,Retired
Fiat G.50,NA,NA,NA,1963.146176,NA,12.7,3.048,7.9248,NA,2401.76964,NA,NA,NA,NA,NA,NA,NA,10700.004,NA,NA,18.2554395,NA,NA,10.972800000000001,Italy,1937,791,Retired
