name,Bombs_kg,Cruise_speed_kmh,Dry_thrust_kg,Empty_weight_kg,Gross_weight_kg,Guns_mm,Height_m,Length_m,Loaded_weight_kg,Max._takeoff_weight_kg,Maximum_speed_kmh,Powerplant_kg,Powerplant_kW,Powerplant_m,Range_m,Rate_of_climb_m,Rate_of_climb_ms,Service_ceiling_m,Thrust_with_afterburner_kg,Wing_area_m,Wing_area_m2,Wing_loading_kg,Wing_loading_m2,Wingspan_m,country,year,number,status
Grigorovich I-Z,NA,NA,NA,1179.792792,NA,NA,NA,7.62,1647.899736,NA,NA,NA,357.93600000000004,NA,NA,NA,NA,7010.4000000000005,NA,NA,NA,NA,NA,11.277600000000001,USSR,1931,73,Retired
Grumman F-14 Tomcat,NA,NA,NA,19838,NA,19.9898,4.88,19.1,27700,33720,NA,NA,NA,NA,NA,NA,NA,15200,NA,NA,54.5,NA,NA,NA,United States,1970,712,Operational
Grumman F-9 Cougar,454,NA,NA,5209,NA,20.066,3.76,12.47,7368,9525,NA,NA,NA,NA,NA,NA,34.3,13564,NA,NA,27.87,NA,NA,10.52,United States,1951,1392,Retired
Grumman F2F,NA,NA,NA,1221,NA,NA,2.77,6.53,NA,1745,NA,NA,522,NA,NA,NA,10.4,8260,NA,NA,21.4,NA,NA,8.69,United States,1933,55,Retired
Grumman F3F,52.6,240.76000000000002,NA,1490,NA,7.62,2.84,7.06,NA,2175,424.108,NA,710,NA,NA,NA,14,10120,NA,NA,24.15,NA,NA,9.75,United States,1935,147,Retired
Grumman F6F Hellcat,NA,NA,NA,4190,NA,12.7,3.99,10.24,5714,6990,629.25194,NA,NA,NA,NA,NA,17.8,11370,NA,NA,31,NA,NA,13.06,United States,1942,12275,Retired
Grumman F7F Tigercat,454,NA,NA,7380,NA,20.066,5.1,13.8,NA,11670,NA,NA,1566,NA,NA,NA,23,12300,NA,NA,42.3,NA,NA,15.7,United States,1943,364,Retired
Grumman F8F Bearcat,454,NA,NA,3207,NA,12.7,4.21,8.61,4354,5873,677.832,NA,1715,NA,NA,NA,23.2,11796,NA,NA,22.67,NA,NA,10.92,United States,1944,1266,Retired
Grumman GG,NA,NA,NA,1405,NA,NA,3.38,7.47,NA,2121,NA,NA,520,NA,NA,NA,NA,6735,NA,NA,28.8,NA,NA,10.52,United States,1934,1,Abandoned
Grumman XF10F Jaguar,NA,NA,NA,9265,NA,NA,4.95,17.01,NA,16080,1148.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,1952,1,Abandoned
Grumman XF5F Skyrocket,NA,NA,NA,3600,NA,NA,3.45,8.76,4600,5450,616,NA,895,NA,NA,NA,NA,11e3,NA,NA,28.2,NA,NA,12.8,United States,1940,1,Abandoned
Grumman XP-50,NA,NA,NA,3770,NA,NA,3.66,9.73,5250,6530,680,NA,895,NA,NA,NA,25,12190,NA,NA,28.24,NA,NA,12.8,United States,1941,1,Abandoned
Häfeli DH-4,NA,NA,NA,639.56472,NA,NA,2.4384,5.7912,884.957992,NA,148.05928,NA,111.855,NA,NA,NA,4.50088,NA,NA,NA,21.9994304,NA,NA,9.7536,Switzerland,1918,1,Abandoned
HAL Ajeet,NA,NA,NA,2306.968912,NA,NA,2.4384,8.8392,3539.378376,4173.0464,NA,NA,NA,NA,NA,NA,NA,13720,NA,NA,12.6905498,NA,NA,6.7056000000000004,"India, United Kingdom",1976,89,Retired
HAL HF-24 Marut,NA,NA,NA,6195.159536,NA,29.971999999999998,3.3528000000000002,15.8496,NA,10907.980416,1111.2,NA,NA,NA,NA,NA,NA,13746.480000000001,NA,NA,27.963803,NA,NA,8.8392,India,1961,147,Retired
Halberstadt D.I,NA,NA,NA,548.84632,739.35496,NA,NA,NA,NA,NA,NA,NA,74.57000000000001,NA,NA,NA,NA,NA,NA,NA,23.597362,NA,NA,8.5344,German Empire,1915,2,Abandoned
Hall XFH,NA,NA,NA,804,1140,NA,3.35,6.85,NA,NA,246,NA,336,NA,NA,NA,9.07,7711,NA,NA,23.68,NA,NA,9.75,United States,1929,1,Abandoned
Handley Page Type S,NA,NA,NA,600,NA,NA,2.92,6.54,NA,923,NA,NA,172,NA,NA,NA,9.1,6400,NA,NA,10.6,NA,NA,8.92,United Kingdom,1923,2,Abandoned
Hanriot H.31,NA,NA,NA,NA,NA,7.696199999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,1925,1,Abandoned
Hanriot HD.1,NA,NA,NA,405.96484,NA,NA,2.7432000000000003,5.7912,603.730952,651.811704,NA,NA,82.027,NA,NA,2316.48,NA,6400.8,NA,NA,17.9953111,NA,NA,8.5344,France,1916,1200,Retired
Hanriot HD.3,NA,NA,NA,757.49864,1184.328712,NA,2.7432000000000003,6.7056000000000004,NA,NA,191.51146,NA,193.882,NA,NA,NA,4.064,5699.76,NA,NA,25.5018735,NA,NA,8.8392,France,1917,90,Retired
Hanriot HD.7,NA,NA,NA,1230.141504,1900.096888,NA,2.7432000000000003,7.010400000000001,NA,NA,217.2609,NA,223.71,NA,NA,NA,NA,NA,NA,NA,28.00003517,NA,NA,9.7536,France,1918,1,Abandoned
Hansa-Brandenburg D.I,NA,NA,NA,671.769752,NA,NA,2.7432000000000003,6.096,919.884576,NA,187.05200000000002,NA,137.9545,NA,NA,NA,NA,4998.72,NA,NA,23.9503934,NA,NA,8.2296,Austro-Hungarian Empire,1916,122,Retired
Hawker Demon,NA,NA,NA,1150,NA,NA,3.18,8.94,NA,2089,297.7279,NA,380,NA,NA,NA,NA,6950,NA,NA,32.5,NA,NA,11.36,United Kingdom,1931,290,Retired
Hawker F.20/27,NA,NA,NA,978,NA,7.7,2.87,7.18,1429,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,21.2,NA,NA,9.14,United Kingdom,1928,1,Abandoned
Hawker Fury,NA,NA,NA,1240,NA,7.7,3.1,8.15,1637,NA,360,NA,477,NA,NA,NA,13.2,8990,NA,NA,23.2,NA,NA,9.14,United Kingdom,1931,275,Retired
Hawker Fury (monoplane),907,NA,NA,4191,NA,20.066,4.84,10.56,5602,6645,NA,NA,1850,NA,NA,NA,21.9,10910,NA,NA,26.01,NA,NA,11.69,United Kingdom,1944,3,Abandoned
Hawker Hart Fighter,NA,NA,NA,1150,NA,NA,3.18,8.94,NA,2089,297.7279,NA,380,NA,NA,NA,NA,6950,NA,NA,32.5,NA,NA,11.36,United Kingdom,1931,6,Retired
Hawker Hawfinch,NA,NA,NA,873,NA,NA,2.84,7.21,1320,NA,275.19714,NA,336,NA,NA,NA,NA,7315,NA,NA,27.3,NA,NA,10.21,United Kingdom,1927,1,Abandoned
Hawker Heron,NA,NA,NA,960,NA,NA,2.97,6.78,1460,NA,251.872,NA,339,NA,NA,NA,NA,7102,NA,NA,27,NA,NA,9.7,United Kingdom,1925,1,Abandoned
Hawker Hoopoe,NA,NA,NA,1263,NA,NA,NA,7.5,1774,NA,316.2,NA,418,NA,NA,NA,NA,7193,NA,NA,26.8,NA,NA,10.1,United Kingdom,1928,1,Abandoned
Hawker Hornbill,NA,NA,NA,1349,NA,7.7,2.95,8.11,1710,1736,300.94658,NA,520,NA,NA,NA,NA,6920,NA,NA,29.5,NA,NA,9.45,United Kingdom,1925,1,Abandoned
Hawker Hunter,NA,NA,NA,6405,NA,29.971999999999998,4.01,14,8050,11158,NA,NA,NA,NA,NA,NA,87.4,15240,NA,NA,32.42,NA,NA,10.26,United Kingdom,1951,1972,Retired
Hawker Sea Fury,907,NA,NA,4191,NA,20.066,4.84,10.56,5602,6645,NA,NA,1850,NA,NA,NA,21.9,10910,NA,NA,26.01,NA,NA,11.69,United Kingdom,1945,860,Retired
Hawker Sea Hawk,227,NA,NA,4208,NA,20.066,2.64,12.09,5996,7325,965,NA,NA,NA,NA,NA,29,13564,NA,NA,25.83,NA,NA,11.89,United Kingdom,1947,542,Retired
Hawker Siddeley Kestrel FGA.1,NA,NA,NA,NA,NA,NA,3.28,12.95,NA,NA,1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99,United Kingdom,1964,9,Retired
Hawker Tempest,NA,NA,NA,4195,NA,NA,4.9,10.26,5176,6190,695,NA,NA,NA,NA,NA,23.9,11125,NA,NA,28,NA,NA,12.49,United Kingdom,1942,1702,Retired
Hawker Tornado,NA,NA,NA,3800,NA,NA,4.47,10.01,4318,4839,641,NA,1312,NA,NA,NA,NA,10640,NA,NA,26.3,NA,NA,12.78,United Kingdom,1939,4,Abandoned
Hawker Typhoon,227,NA,NA,4010,NA,NA,4.66,9.73,5170,6010,NA,NA,NA,NA,NA,NA,13.59,10729,NA,NA,29.6,NA,NA,12.67,United Kingdom,1940,3317,Retired
Heinkel HD 37,NA,NA,NA,1415.660632,1788.0596639999999,NA,3.048,6.7056000000000004,NA,NA,292.89988,NA,544.361,NA,NA,NA,9.652000000000001,7193.280000000001,NA,NA,25.919937,NA,NA,9.7536,Germany - Weimar Republic,1928,134,Retired
Heinkel HD 38,NA,NA,NA,1524.0691199999999,1850.65536,NA,3.3528000000000002,7.315200000000001,NA,NA,289.6812,NA,559.275,NA,NA,NA,13.9192,6705.6,NA,NA,30.843796,NA,NA,9.7536,Germany - Weimar Republic,1928,12,Retired
Heinkel HD 43,NA,NA,NA,1280.036624,NA,NA,3.048,7.010400000000001,1700.0628159999999,NA,NA,NA,559.275,NA,NA,NA,NA,NA,NA,NA,26.5609677,NA,NA,9.7536,Germany - Weimar Republic,1931,1,Abandoned
Heinkel He 112,NA,NA,NA,1680.104768,NA,NA,3.6576000000000004,8.8392,NA,2225.322352,487.63002,NA,NA,NA,NA,NA,NA,7999.476000000001,NA,NA,23.2722015,NA,NA,11.277600000000001,Germany - 3rd Reich,1935,104,Retired
Heinkel He 280,NA,NA,NA,3208.2562159999998,NA,NA,3.048,10.3632,4271.022272,4295.51624,823.98208,NA,NA,NA,NA,NA,19.08048,9753.6,NA,NA,21.646399,NA,NA,12.192,Germany - 3rd Reich,1940,9,Abandoned
Heinkel He 49,NA,NA,NA,NA,NA,7.924799999999999,NA,8.2296,1949.992008,NA,325.08668,NA,514.533,NA,NA,NA,NA,NA,NA,NA,27.201069370000003,NA,NA,10.972800000000001,Germany - 3rd Reich,1932,4,Abandoned
Heinrich Pursuit,NA,NA,NA,NA,560,NA,NA,NA,NA,NA,185,NA,75,NA,NA,NA,NA,NA,NA,NA,15.09,NA,NA,7.92,United States,1917,4,Abandoned
Helwan HA-300,NA,NA,NA,2100.13096,NA,NA,3.048,12.192,5443.104,NA,NA,NA,NA,NA,NA,NA,NA,18013.68,NA,NA,NA,NA,NA,5.7912,Egypt,1964,3,Abandoned
HESA Saeqeh,NA,NA,NA,NA,NA,19.9898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Iran,2004,24,Operational
HESA Shafaq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.98200000000001,16776.192,NA,NA,NA,NA,NA,NA,Iran,NA,1,Project
Hughes D-2,NA,441,NA,NA,NA,NA,8.3,17.6,14366,NA,697,NA,1500,NA,NA,NA,13,10975,NA,NA,57.23,NA,NA,18.29,United States,1943,1,Abandoned
IAI Kfir,5774.22616,NA,5393.20888,7284.6875199999995,NA,29.971999999999998,4.2672,15.5448,11602.88336,16200.03828,NA,NA,NA,NA,NA,NA,233.42600000000002,17678.4,8119.2968,NA,NA,NA,NA,7.9248,Israel,1973,220,Operational
IAI Lavi,NA,NA,NA,7030.6759999999995,NA,NA,4.572,14.325600000000001,9990.3638,19277.66,1963.3948,NA,NA,NA,NA,NA,254.00000000000003,15240,NA,NA,32.980565,NA,NA,8.5344,Israel,1986,3,Abandoned
IAI Nammer,NA,NA,NA,NA,16510.7488,NA,4.2672,15.8496,NA,NA,NA,NA,NA,NA,NA,NA,NA,17678.4,NA,NA,34.838625,NA,NA,8.2296,Israel,1991,1,Abandoned
IAR-11,NA,NA,NA,1099.9605999999999,1510.007768,NA,2.4384,6.7056000000000004,NA,NA,328.30536,NA,372.85,NA,NA,NA,NA,NA,NA,NA,18.1996977,NA,NA,11.277600000000001,Romania,1930,2,Abandoned
IAR-13,NA,NA,NA,1149.85572,1529.965816,NA,3.6576000000000004,7.315200000000001,NA,NA,NA,NA,335.565,NA,NA,NA,NA,7898.892000000001,NA,NA,19.80041639,NA,NA,11.5824,Romania,1933,1,Abandoned
IAR-14,NA,NA,NA,1252.367512,1548.5630879999999,NA,2.4384,7.315200000000001,NA,NA,NA,NA,335.565,NA,NA,NA,NA,7898.892000000001,NA,NA,NA,NA,NA,11.5824,Romania,1933,20,Retired
IAR-15,NA,NA,NA,1212.4514159999999,1646.53896,NA,2.4384,7.62,NA,NA,NA,NA,NA,3998.976,NA,NA,NA,10485.12,NA,NA,18.952212,NA,NA,9.4488,Romania,1933,5,Abandoned
IAR-16,NA,NA,NA,1212.4514159999999,1646.53896,NA,2.4384,7.62,NA,NA,342.78942,NA,418,NA,NA,NA,NA,10485.12,NA,NA,18.952212,NA,NA,9.4488,Romania,1934,1,Abandoned
IAR-80,NA,NA,NA,2199.9211999999998,NA,NA,3.3528000000000002,8.8392,NA,2980.09944,NA,NA,764.3425000000001,NA,NA,NA,NA,9997.44,NA,NA,17.001249,NA,NA,10.972800000000001,Romania,1939,346,Retired
Ikarus S-49,NA,NA,NA,2812.2704,NA,NA,2.7432000000000003,8.8392,NA,3560.6972,NA,NA,1118.55,NA,NA,NA,NA,10058.4,NA,NA,16.629637,NA,NA,10.0584,Yugoslavia,1949,158,Retired
Ilyushin Il-1,199.58048,NA,NA,4285.083624,NA,NA,3.9624,10.972800000000001,5319.726976,NA,579.676,NA,NA,NA,NA,NA,NA,8599.932,NA,NA,30.007669,NA,NA,13.1064,USSR,1944,1,Abandoned
IMAM Ro.41,NA,NA,NA,1007.881424,NA,NA,2.4384,6.096,1267.336048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.138018,NA,NA,8.5344,Italy,1934,753,Retired
IMAM Ro.51,NA,NA,NA,1662.868272,NA,NA,2.4384,7.315200000000001,2091.966304,NA,NA,NA,617.4396,NA,NA,NA,NA,8199.12,NA,NA,16.350928,NA,NA,9.7536,Italy,1937,2,Abandoned
IMAM Ro.57,NA,388.92,NA,3489.936848,NA,NA,2.7432000000000003,8.5344,4989.512,NA,500.04,NA,626.388,NA,NA,NA,NA,7799.832,NA,NA,NA,NA,NA,12.4968,Italy,1939,50,Retired
IMAM Ro.58,NA,NA,NA,4340.87544,6087.20464,NA,3.3528000000000002,9.7536,NA,NA,608.33052,NA,876.1975,NA,NA,NA,NA,9753.6,NA,NA,26.198646,NA,NA,13.1064,Italy,1942,1,Abandoned
IVL C.24,NA,NA,NA,658.615584,NA,NA,2.7432000000000003,7.010400000000001,NA,789.25008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9893732,NA,NA,11.8872,Finland,1924,1,Abandoned
IVL C.VI.25,NA,NA,NA,NA,NA,NA,NA,6.7056000000000004,NA,840.959568,NA,NA,119.31200000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4488,Finland,1925,1,Abandoned
Junkers CL.I,NA,NA,NA,708.510704,1047.79752,NA,2.4384,7.62,NA,NA,160.934,NA,134.226,NA,NA,NA,NA,6004.56,NA,NA,23.504459,NA,NA,11.8872,German Empire,1917,51,Retired
Junkers K 47,NA,NA,NA,1047.79752,1632.9312,NA,2.1336,8.5344,NA,NA,305.7746,NA,439.963,NA,NA,NA,NA,4267.2,NA,NA,22.761235,NA,NA,12.192,Germany - Weimar Republic,1929,23,Retired
Junkers T.22,NA,NA,NA,830.07336,1224.6984,NA,NA,7.62,NA,NA,217.2609,NA,137.9545,NA,NA,NA,NA,NA,NA,NA,21.832205,NA,NA,10.668000000000001,Germany - Weimar Republic,1923,2,Abandoned
KAI FA-50,NA,NA,NA,6479.56172,NA,19.9898,4.93776,13.136880000000001,NA,12383.061599999999,NA,NA,NA,NA,NA,NA,198.12,14630.400000000001,NA,NA,23.690265,NA,NA,9.4488,South Korea,2011,1,Prototype
KAI KF-X,NA,NA,NA,11793.392,NA,NA,4.6634400000000005,16.88592,17236.496,25401.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.186160000000001,"South Korea, Indonesia",NA,0,Project
Kawasaki KDA-5 Army Type 92,NA,NA,NA,1280.036624,1699.609224,NA,3.048,7.010400000000001,NA,NA,320.25866,NA,469.791,NA,NA,NA,NA,NA,NA,NA,23.968974,NA,NA,9.4488,Japan,1930,385,Retired
Kawasaki Ki-10,NA,NA,NA,1359.868816,NA,NA,2.7432000000000003,7.010400000000001,1739.978912,NA,399.92099,NA,633.845,NA,NA,NA,16.6624,11500.104000000001,NA,NA,NA,NA,NA,9.7536,Japan,1935,588,Retired
Kawasaki Ki-100,NA,401.884,NA,2525.146664,NA,12.7,3.6576000000000004,8.5344,3494.92636,NA,579.676,NA,1118.55,NA,NA,NA,NA,11000.232,NA,NA,19.974145,NA,NA,11.8872,Japan,1945,395,Retired
Kawasaki Ki-96,NA,NA,NA,4549.981352,NA,37.083999999999996,3.6576000000000004,11.277600000000001,6000.114976,NA,600.28382,NA,1118.55,NA,NA,NA,NA,11500.104000000001,NA,NA,34.002498,NA,NA,15.5448,Japan,1943,3,Abandoned
Kochyerigin DI-6,NA,NA,NA,1359.868816,NA,NA,3.048,6.7056000000000004,1954.98152,NA,NA,NA,521.99,NA,NA,NA,NA,7699.8576,NA,NA,25.1488421,NA,NA,9.7536,USSR,1934,222,Retired
Koolhoven F.K.55,NA,NA,NA,1599.818984,2279.753392,NA,2.4384,9.144,NA,NA,510.16078,NA,641.302,NA,NA,NA,13.1064,NA,NA,NA,16.00068369,NA,NA,9.4488,Netherlands,1938,1,Abandoned
Koolhoven F.K.58,NA,450.6152,NA,1930.03396,NA,NA,2.7432000000000003,8.5344,2750.128296,NA,505.33276,NA,768.071,NA,NA,NA,5.7404,10000.488000000001,NA,NA,17.2985386,NA,NA,10.972800000000001,Netherlands,1938,18,Retired
Laville DI-4,NA,NA,NA,1447.865664,NA,NA,NA,8.2296,1949.084824,NA,NA,NA,447.42,NA,NA,NA,NA,6440.1192,NA,NA,23.9039419,NA,NA,13.1064,USSR,1932,1,Abandoned
Lavochkin La-11,NA,NA,NA,2770.086344,NA,NA,3.3528000000000002,8.5344,3729.887016,3996.14552,674.31346,NA,1379.545,NA,NA,NA,12.63396,10249.814400000001,NA,NA,17.558667,NA,NA,9.7536,USSR,1947,1182,Retired
Lavochkin La-126,NA,NA,NA,2579.124112,NA,NA,3.3528000000000002,8.5344,3314.850336,NA,692.0162,NA,1379.545,NA,NA,NA,17.8308,10789.92,NA,NA,17.558667,NA,NA,9.7536,USSR,1945,1,Abandoned
Lavochkin La-150,NA,NA,NA,2155.922776,NA,NA,2.4384,9.144,2972.841968,NA,878,NA,NA,NA,NA,1325.5752,NA,NA,NA,NA,12.13684792,NA,NA,7.9248,USSR,1946,8,Abandoned
Lavochkin La-160,NA,NA,NA,2737.881312,4059.6484,NA,3.9624,10.0584,NA,NA,968.82268,NA,NA,NA,NA,NA,19.837400000000002,12201.144,NA,NA,15.882696880000001,NA,NA,8.8392,USSR,1947,1,Abandoned
Lavochkin La-190,NA,NA,NA,NA,9256.451944,NA,4.2672,16.154400000000003,NA,NA,1189.30226,NA,NA,NA,NA,NA,55.554880000000004,15599.664,NA,NA,38.8891958,NA,NA,9.7536,USSR,1951,1,Abandoned
Lavochkin La-200,NA,NA,NA,8808.75664,12628.00128,NA,NA,16.154400000000003,NA,NA,1068.60176,NA,NA,NA,NA,NA,27.7876,15549.981600000001,NA,NA,39.97801896,NA,NA,12.8016,USSR,1949,1,Abandoned
Lavochkin La-250,NA,NA,NA,18948.8058,NA,NA,6.4008,26.5176,24448.608799999998,27442.316,1799.2421199999999,NA,NA,NA,NA,NA,NA,16995.648,NA,NA,79.9709024,NA,NA,13.716000000000001,USSR,1956,5,Abandoned
Lavochkin La-5,NA,NA,NA,2604.978856,NA,NA,2.4384,8.5344,3264.955216,3401.94,648.56402,NA,1379.545,NA,NA,NA,16.6624,10999.9272,NA,NA,17.465764,NA,NA,9.7536,USSR,1942,9920,Retired
Lavochkin La-9,NA,NA,NA,2638.091072,NA,NA,3.3528000000000002,8.5344,3425.073192,3675.909568,688.79752,NA,1379.545,NA,NA,NA,17.69872,10799.9784,NA,NA,17.558667,NA,NA,9.7536,USSR,1946,1559,Retired
Letov Š-231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.61744,NA,417.59200000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czechoslovakia,1933,25,Retired
Letov Š-3,NA,NA,NA,NA,NA,7.696199999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czechoslovakia,1922,2,Abandoned
Letov Š-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.61744,NA,417.59200000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czechoslovakia,1929,32,Retired
LFG Roland D.II,NA,NA,NA,713.500216,NA,NA,3.048,6.7056000000000004,952.089608,NA,NA,NA,119.31200000000001,NA,NA,NA,NA,4998.72,NA,NA,22.8727186,NA,NA,8.8392,German Empire,1916,300,Retired
LFG Roland D.III,NA,NA,NA,716.67536,961.161448,NA,2.7432000000000003,6.7056000000000004,NA,NA,175.41806,NA,134.226,NA,NA,NA,4.470400000000001,4511.04,NA,NA,19.788339,NA,NA,8.8392,German Empire,1916,20,Retired
LFG Roland D.VI,NA,NA,NA,655.894032,NA,NA,2.7432000000000003,6.096,845.94908,NA,NA,NA,149.14000000000001,NA,NA,NA,NA,5791.200000000001,NA,NA,22.110914,NA,NA,9.144,German Empire,1917,350,Retired
Liuchow Kwangsi Type 3,NA,NA,NA,760.220192,1042.808008,NA,2.4384,6.4008,NA,NA,283.24384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taiwan (ROC),1937,1,Abandoned
Lockheed P-80 Shooting Star,454,660,NA,3819,NA,12.7,3.43,10.49,5738,7646,NA,NA,NA,NA,NA,NA,23.3,14e3,NA,NA,22.07,NA,NA,11.81,United States,1944,1715,Retired
Lockheed XF-90,NA,NA,NA,8204,NA,NA,4.8,17.12,12363,14118,1064,NA,NA,NA,NA,NA,28.2,11890,NA,NA,32,NA,NA,12.2,United States,1949,2,Abandoned
Lockheed XP-49,NA,NA,NA,6990,NA,NA,3,12.2,8505,NA,653,NA,1193,NA,NA,NA,16.8,NA,NA,NA,30,NA,NA,15.8,United States,1942,1,Abandoned
Lockheed XP-58 Chain Lightning,NA,455.59200000000004,NA,14344,NA,NA,4.88,15.07,NA,17777,701.908,NA,2238,NA,NA,NA,NA,11645,NA,NA,55.7,NA,NA,21.34,United States,1944,1,Abandoned
Lockheed YF-12,NA,NA,NA,27604,NA,NA,5.64,30.97,NA,63504,NA,NA,NA,NA,NA,NA,60,27400,NA,NA,167,NA,NA,16.95,United States,1963,3,Abandoned
Lockheed YP-24,NA,NA,NA,1365,NA,12.7,2.59,8.76,1978,NA,NA,NA,448,NA,NA,NA,9.3,7620,NA,NA,27.1,NA,NA,13.04,United States,1931,1,Abandoned
Loening PA-1,NA,NA,NA,697,1117,NA,2.64,6.01,NA,NA,209,NA,NA,NA,NA,NA,4.72,5852,NA,NA,26.19,NA,NA,8.53,United States,1922,1,Abandoned
Loening PW-2,NA,NA,NA,NA,1270,NA,NA,7.95,NA,NA,219,NA,239,NA,NA,NA,NA,NA,NA,NA,27.8,NA,NA,12.12,United States,1918,7,Retired
Lohner 10.20 Spuckerl,NA,NA,NA,622.781816,NA,NA,NA,NA,NA,945.73932,193.1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austro-Hungarian Empire,1916,2,Abandoned
Loire 46,NA,NA,NA,1450.133624,NA,NA,3.9624,7.62,2100.13096,NA,NA,NA,693.501,NA,NA,NA,NA,11750.04,NA,NA,NA,NA,NA,11.5824,France,1934,61,Retired
LVG E.I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.48400000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,German Empire,1915,1,Abandoned
Macchi C.200,NA,NA,NA,1964.0533599999999,NA,NA,3.048,8.2296,2195.38528,2394.96576,503.72342,NA,648.759,NA,NA,NA,15.3924,8900.16,NA,NA,16.815443,NA,NA,10.3632,Italy,1937,1153,Retired
Macchi C.201,NA,NA,NA,1964.0533599999999,NA,NA,3.048,8.2296,2195.38528,2394.96576,503.72342,NA,648.759,NA,NA,NA,15.3924,8900.16,NA,NA,16.815443,NA,NA,10.3632,Italy,1940,2,Abandoned
Macchi C.205,158.7572,NA,NA,2580.93848,NA,NA,3.048,8.8392,3407.836696,3900.8912,638.94,NA,1100,NA,NA,NA,NA,11500.104000000001,NA,NA,16.796862400000002,NA,NA,10.3632,Italy,1942,262,Retired
Marchetti MVT/SIAI S.50,NA,NA,NA,747.066024,987.016192,NA,2.4384,7.62,NA,NA,249.4477,NA,164.054,NA,NA,NA,NA,NA,NA,NA,21.50054129,NA,NA,8.5344,Italy,1919,3,Abandoned
Martin-Baker MB 2,NA,NA,NA,NA,NA,NA,2.97,10.59,2517,NA,490.8487,NA,746,NA,NA,NA,11.2,8840,NA,NA,19.7,NA,NA,10.37,United Kingdom,1938,1,Abandoned
Martin-Baker MB 3,NA,NA,NA,4188,NA,NA,4.5,10.77,5216,5484,668,NA,1745,NA,NA,NA,19.3,12190,NA,NA,24.3,NA,NA,10.7,United Kingdom,1942,1,Abandoned
Martinsyde Buzzard,NA,NA,NA,823,NA,7.7,2.69,7.76,1090,NA,NA,NA,224,NA,NA,NA,NA,7320,NA,NA,29.7,NA,NA,9.99,United Kingdom,1918,370,Retired
Martinsyde G.100,120,NA,NA,816,NA,NA,2.95,8.07,1102,NA,154.49664,NA,90,NA,NA,NA,NA,4270,NA,NA,NA,NA,NA,11.59,United Kingdom,1916,271,Retired
MÁVAG Héja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.41134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hungary,1940,204,Retired
McDonnell Douglas AV-8B Harrier II Plus,NA,NA,NA,6340,NA,24.993599999999997,3.55,14.12,10410,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,22.61,NA,NA,9.25,"United States, United Kingdom",1993,133,Operational
McDonnell Douglas F-15 Eagle,NA,NA,NA,12700,NA,19.9898,5.63,19.43,20200,30845,NA,NA,NA,NA,NA,NA,NA,2e4,NA,NA,56.5,NA,NA,13.05,United States,1972,1196,Operational
McDonnell Douglas F-15E Strike Eagle,NA,NA,NA,14300,NA,19.9898,5.63,19.43,NA,36700,NA,NA,NA,NA,NA,NA,NA,18200,NA,NA,56.5,NA,NA,13.05,United States,1986,418,Operational
McDonnell Douglas F/A-18 Hornet,NA,NA,NA,NA,NA,19.9898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,1978,1480,Operational
McDonnell F-101 Voodoo,NA,NA,NA,12925,NA,NA,5.49,20.55,20715,23770,NA,NA,NA,NA,NA,NA,185,17800,NA,NA,34.2,NA,NA,12.09,United States,1954,807,Retired
McDonnell F2H Banshee,NA,NA,NA,5980,NA,20.066,4.42,14.68,9531,11437,933.408,NA,NA,NA,NA,NA,30,14205,NA,NA,27.3,NA,NA,12.73,United States,1947,895,Retired
